id,usage_mutation,usage_for,usage_hof,usage_helpers
0,3,2,0,4
1,3,2,0,4
2,3,2,0,3
3,1,2,0,4
4,2,2,0,2
5,3,2,0,4
6,2,2,0,1
7,2,2,0,1
8,3,2,0,4
9,3,2,0,3
10,2,2,0,4
11,0,2,0,6
