id,usage_mutation,usage_for,usage_hof,usage_helpers
0,0,2,0,5
1,2,2,0,4
2,2,2,0,3
3,0,0,3,4
4,2,2,0,2
5,2,2,0,2
6,0,2,0,6
7,2,2,0,2
8,2,2,0,5
