id,usage_mutation,usage_for,usage_hof,usage_helpers
0,3,4,0,3
1,3,3,0,5
2,3,3,0,4
3,3,4,0,5
4,3,3,0,3
5,3,4,0,4
6,4,3,0,4
7,3,3,0,5
8,4,3,0,4
9,3,3,0,4
10,3,2,0,3
11,3,4,0,5
