id,usage_mutation,usage_for,usage_hof,usage_helpers
0,0,1,0,2
1,0,1,2,3
2,0,1,0,1
3,0,1,0,1
4,0,1,0,2
5,0,0,0,3
6,0,2,0,1
7,0,0,0,1
