id,usage_mutation,usage_for,usage_hof,usage_helpers
0,0,1,0,1
1,0,0,1,4
2,0,2,0,1
3,0,1,0,1
4,0,1,0,3
5,0,1,0,1
6,0,1,0,1
7,0,1,0,1
8,0,1,0,1
9,0,2,0,1
